project_id, final_status
kkst917493670,0
kkst1664901914,0
kkst925125077,0
kkst1427645275,0
kkst1714249266,0
kkst994744324,0
kkst366471810,1
kkst1686645245,1
kkst1009612119,0
kkst774947236,1
kkst751736613,0
kkst546487059,0
kkst184185617,0
kkst14737712,0
kkst1709731255,0
kkst677310901,0
kkst2017864312,1
kkst263053778,0
kkst515365696,0
kkst1399418181,1
kkst1923573285,0
kkst1835523556,0
kkst691313362,0
kkst1801490632,0
kkst1370169828,0
kkst69680953,0
kkst65991350,1
kkst533894809,0
kkst1416439353,0
kkst1728612166,0
kkst591256989,1
kkst603923316,0
kkst364855279,0
kkst1527997998,1
kkst126334923,0
kkst16532941,0
kkst811726794,1
kkst646070365,1
kkst2135981849,0
kkst1480834297,0
kkst1163319962,0
kkst604663343,0
kkst55278522,0
kkst1461434542,0
kkst556355277,0
kkst1778637743,0
kkst2122765314,1
kkst1515579884,0
kkst51974772,0
kkst676328080,0
kkst2095310455,1
kkst1902921628,0
kkst2965882,0
kkst2025532980,0
kkst685152281,0
kkst984716122,0
kkst1937351332,0
kkst1965018573,0
kkst1385079023,0
kkst371763877,0
kkst1719305470,1
kkst414016934,0
kkst864401528,1
kkst2144068622,1
kkst1186933661,0
kkst1646227559,0
kkst328632053,1
kkst783227488,0
kkst527726835,1
kkst1765212040,0
kkst2054934847,0
kkst286395604,1
kkst1047315704,1
kkst326758444,0
kkst1416244871,0
kkst1092594780,0
kkst85603261,0
kkst1597128524,1
kkst884707407,0
kkst407602832,0
kkst1338072183,1
kkst948923168,1
kkst592366180,0
kkst762436542,0
kkst606312972,0
kkst1862904571,0
kkst790210480,0
kkst1317192611,0
kkst1506380847,0
kkst318749590,0
kkst838456079,0
kkst862634949,0
kkst2042567263,0
kkst136419979,0
kkst1325204642,0
kkst303128147,0
kkst1159237476,0
kkst624538543,1
kkst1802941766,1
kkst1259089112,0
kkst1034624357,0
kkst705402918,0
kkst1864581028,1
kkst1698750449,0
kkst391965594,1
kkst1025472580,0
kkst1341036239,1
kkst785018052,1
kkst238028927,0
kkst1121175982,0
kkst2100013901,1
kkst1745618190,0
kkst245166352,0
kkst725583778,0
kkst632891765,0
kkst1098682359,0
kkst1849070596,0
kkst1388355649,1
kkst2071277908,1
kkst801369111,0
kkst1453256960,1
kkst584872413,0
kkst691974362,0
kkst82110717,0
kkst1097361941,0
kkst1708792008,0
kkst926145564,0
kkst194405563,0
kkst796920190,0
kkst720937306,0
kkst1020328630,0
kkst1468814295,1
kkst116403425,0
kkst34994902,0
kkst514200835,0
kkst2020139085,0
kkst989313167,0
kkst86018004,0
kkst704861111,1
kkst1421472880,1
kkst1763312980,1
kkst35138481,1
kkst1512096150,0
kkst327547135,0
kkst1305628116,0
kkst158204508,0
kkst1225240977,1
kkst2018864113,0
kkst474914780,0
kkst1471098197,0
kkst615482332,0
kkst1033026703,0
kkst343273568,0
kkst544916728,0
kkst675120295,0
kkst659350014,0
kkst1149278971,0
kkst616145309,0
kkst1867587565,0
kkst760260688,0
kkst333222063,1
kkst1109840690,0
kkst470711478,0
kkst156079600,0
kkst575342866,1
kkst1906772105,1
kkst795056486,0
kkst1504905160,0
kkst1468226891,0
kkst431062390,0
kkst1537226276,0
kkst1039424225,0
kkst1670585415,0
kkst965912745,1
kkst782776484,0
kkst269039818,0
kkst314349228,0
kkst593081237,0
kkst150829248,1
kkst1004192678,1
kkst1235119585,0
kkst484674032,0
kkst1059717665,0
kkst1527373655,0
kkst567191829,1
kkst1606262385,0
kkst547166363,1
kkst1403351161,0
kkst1656469211,1
kkst1223074917,0
kkst368015893,0
kkst2066499551,0
kkst987224237,1
kkst1733951324,1
kkst560122396,0
kkst796908446,0
kkst819506277,0
kkst876310692,1
kkst356904640,0
kkst2086683014,0
kkst36874197,1
kkst1537160718,0
kkst1284822269,1
kkst237450521,1
kkst407610332,0
kkst1333692422,0
kkst1083218251,0
kkst1281000353,0
kkst1995848810,1
kkst2034966787,0
kkst513697909,0
kkst1123499133,1
kkst1039249060,0
kkst898182194,0
kkst2019931556,0
kkst640243771,1
kkst1873628349,1
kkst1998605122,1
kkst849289724,0
kkst1708386751,0
kkst1952730486,0
kkst2094499037,0
kkst1995287495,0
kkst923192828,0
kkst1099985153,1
kkst1778938523,1
kkst2097847771,0
